,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
0,The Shawshank Redemption,(1994),142 min,9.3,81        ,"34,709",$28.34M,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
1,The Godfather,(1972),175 min,9.2,100        ,"34,709",$134.97M,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
2,The Dark Knight,(2008),152 min,9.0,84        ,"34,709",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
3,The Lord of the Rings: The Return of the King,(2003),201 min,9.0,94        ,"34,709",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
4,Schindler's List,(1993),195 min,9.0,94        ,"34,709",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
5,The Godfather: Part II,(1974),202 min,9.0,90        ,"34,709",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
6,12 Angry Men,(1957),96 min,9.0,96        ,"34,709",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
7,Jai Bhim,(2021),164 min,8.9,****,"34,709",#248,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
8,Pulp Fiction,(1994),154 min,8.9,94        ,"34,709",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
9,Inception,(2010),148 min,8.8,74        ,"34,709",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
10,The Lord of the Rings: The Two Towers,(2002),179 min,8.8,87        ,"34,709",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
11,Fight Club,(1999),139 min,8.8,66        ,"34,709",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
12,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        ,"34,709",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
13,Forrest Gump,(1994),142 min,8.8,82        ,"34,709",$330.25M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
14,"The Good, the Bad and the Ugly",(1966),178 min,8.8,90        ,"34,709",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
15,Soorarai Pottru,(2020),153 min,8.7,****,"34,709",%^%^%^,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
16,The Matrix,(1999),136 min,8.7,73        ,"34,709",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
17,Goodfellas,(1990),145 min,8.7,90        ,"34,709",$46.84M,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
18,Star Wars: Episode V - The Empire Strikes Back,(1980),124 min,8.7,82        ,"34,709",$290.48M,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
19,One Flew Over the Cuckoo's Nest,(1975),133 min,8.7,84        ,"34,709",$112.00M,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
20,Vikram,(2022),175 min,8.6,****,"34,709",%^%^%^,"A high-octane action film where a special investigator is assigned a case of serial Killings, he finds the case is not what it seems to be and leading down this path is only going to end in a war between everyone involved."
21,Top Gun: Maverick,(2022),130 min,8.6,78        ,"34,709",#45,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him."
22,Interstellar,(2014),169 min,8.6,74        ,"34,709",$188.02M,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
23,City of God,(2002),130 min,8.6,79        ,"34,709",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
24,Spirited Away,(2001),125 min,8.6,96        ,"34,709",$10.06M,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
25,Saving Private Ryan,(1998),169 min,8.6,91        ,"34,709",$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
26,The Green Mile,(1999),189 min,8.6,61        ,"34,709",$136.80M,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
27,Life Is Beautiful,(1997),116 min,8.6,59        ,"34,709",$57.60M,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
28,Se7en,(1995),127 min,8.6,65        ,"34,709",$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
29,Terminator 2: Judgment Day,(1991),137 min,8.6,75        ,"34,709",$204.84M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg."
30,The Silence of the Lambs,(1991),118 min,8.6,85        ,"34,709",$130.74M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
31,Star Wars,(1977),121 min,8.6,90        ,"34,709",$322.74M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
32,Harakiri,(1962),133 min,8.6,85        ,"34,709",#47,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
33,Seven Samurai,(1954),207 min,8.6,98        ,"34,709",$0.27M,"""A veteran samurai, gathers six samurais to protect a village from the cruel bandits. As the samurais teach the natives how to defend themselves, the village is attacked by a pack of 40 bandits."
34,It's a Wonderful Life,(1946),130 min,8.6,89        ,"34,709",#21,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
35,Kaithi,(2019),145 min,8.5,****,"34,709",%^%^%^,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
36,Asuran,(2019),141 min,8.5,****,"34,709",%^%^%^,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story."
37,Parasite,(2019),132 min,8.5,96        ,"34,709",$53.37M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
38,Whiplash,(2014),106 min,8.5,88        ,"34,709",$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
39,The Intouchables,(2011),112 min,8.5,57        ,"34,709",$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
